Drug Name,Brand Name,Date,User,Age,Gender,Patient Type,Medication Duration,Condition,Overall Rating,Effectiveness,Ease of Use,Satisfaction,Likes,Dislikes,Textual Review,structured_info,relations,structured_info_standardized
Semaglutide,Ozempic,4/4/2025,JB,55-64,Male,Patient,less than 1 month,Type 2 Diabetes Mellitus,1.0,1,1,1,1.0,0,Severe bloating and severe acid reflux to the point where I had problems swallowing food. The acid reflux was so bad it was trying to push the food back up again as I was trying to swallow. This stuff is terrible. I only took 2 injections then told my doctor that I flat out refuse to use anymore of this crap. Horrible experience.,"{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""less than 1 month"", ""continued_use"": ""no"", ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""bloating"", ""severity"": ""Severe""}, {""name"": ""acid reflux"", ""severity"": ""Severe""}, {""name"": ""difficulty swallowing"", ""severity"": ""Severe""}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Type 2 Diabetes Mellitus""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""bloating""}}, ""relation"": ""causes"", ""properties"": {""severity"": ""Severe"", ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""acid reflux""}}, ""relation"": ""causes"", ""properties"": {""severity"": ""Severe"", ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""difficulty swallowing""}}, ""relation"": ""causes"", ""properties"": {""severity"": ""Severe"", ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""less than 1 month"", ""continued_use"": ""no"", ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""bloating"", ""severity"": ""Severe"", ""standard_name"": null, ""standardized"": false}, {""name"": ""acid reflux"", ""severity"": ""Severe"", ""standard_name"": null, ""standardized"": false}, {""name"": ""difficulty swallowing"", ""severity"": ""Severe"", ""standard_name"": ""dysphagia"", ""standardized"": true}]}"
Semaglutide,Ozempic,3/16/2025,mouse,65-74,Female,Patient,2 to less than 5 years,Weight Loss Management for an Obese Person,4.666666666666667,5,5,4,1.0,0,Weightloss is adequate the only thing i think it causes is it makes me tired and sleepy,"{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""2 to less than 5 years"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for an Obese Person"", ""severity"": null}, ""side_effects"": [{""name"": ""tired and sleepy"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Weight Loss Management for an Obese Person""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""tired and sleepy""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""2 to less than 5 years"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for an Obese Person"", ""severity"": null}, ""side_effects"": [{""name"": ""tired and sleepy"", ""severity"": null, ""standard_name"": null, ""standardized"": false}]}"
Semaglutide,Ozempic,2/9/2025,CJS,55-64,Female,Patient,1 to 6 months,Other,5.0,5,5,5,1.0,0,"I am 55 year old woman and for a year I had body aches and stiffness. I had many tests done by my GP, gyno and rheumatologist. Nothing. Then my NP put me on Semaglutide and my body is back to normal! I have energy and no more body stiffness issues at all within days of starting it. It’s a miracle! I have also lost 15 lbs in 3 lbs which is nice. But I don’t really need to lose much more. I hope I can stay on a lower dose to avoid going back to my issues. Only problem I’ve had is constipation. ButI takes prunes, Miralax and Emma capsules and that is helping a lot. Anyway, I wanted to share my story in case it helps others.","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to 6 months"", ""continued_use"": null, ""alternative_drug_considered"": ""yes""}, ""condition"": {""name"": ""Other"", ""severity"": null}, ""side_effects"": [{""name"": ""constipation"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Other""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""constipation""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to 6 months"", ""continued_use"": null, ""alternative_drug_considered"": ""yes""}, ""condition"": {""name"": ""Other"", ""severity"": null}, ""side_effects"": [{""name"": ""constipation"", ""severity"": null, ""standard_name"": ""constipation"", ""standardized"": true}]}"
Semaglutide,Ozempic,2/5/2025,Janj,45-54,Female,Patient,6 months to less than 1 year,Weight Loss Management for an Obese Person,3.0,1,5,3,1.0,0,"I had a bad allergic reaction, 2 weeks ago, still feeling the it too. If I wasn’t allergic I’m sure this would’ve been great for me.","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""6 months to less than 1 year"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for an Obese Person"", ""severity"": null}, ""side_effects"": [{""name"": ""Allergic reaction"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Weight Loss Management for an Obese Person""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""Allergic reaction""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""6 months to less than 1 year"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for an Obese Person"", ""severity"": null}, ""side_effects"": [{""name"": ""Allergic reaction"", ""severity"": null, ""standard_name"": ""hypersensitivity"", ""standardized"": true}]}"
Semaglutide,Ozempic,1/13/2025,Dale G,55-64,Male,Patient,1 to 6 months,Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity,3.333333333333333,4,3,3,1.0,0,"I'm a 25 year-out gastric bypass patient that found out the hard way that Ozempic can cause dumping syndrome. The gastric bypass surgery already predisposed me to dealing with dumping syndrome, but Ozempic can make the symptoms much worse. Knowing that this was a side effect would've helped me understand why I was feeling so bad.","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to 6 months"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity"", ""severity"": null}, ""side_effects"": [{""name"": ""dumping syndrome"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""dumping syndrome""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to 6 months"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity"", ""severity"": null}, ""side_effects"": [{""name"": ""dumping syndrome"", ""severity"": null, ""standard_name"": ""dumping syndrome"", ""standardized"": true}]}"
Semaglutide,Ozempic,1/9/2025,Dumbfounded,55-64,Female,Patient,1 to less than 2 years,Type 2 Diabetes Mellitus,3.6666666666666665,5,5,1,,1,"The effectiveness of the drug was excellent. I was absolutely losing weight! I gave myself shots for around a year. About month 6, I landed in the hospital with extreme dizziness to the point that I couldn't stand to move. When I say extreme, I mean, it was like I was being swung around by my foot and tossed into outer space where there's no gravity and I was spinning every direction. I landed in the hospital twice. Once I had intestinal pain with diarrhea and bleeding. At the hospital they found that I had something going on with my intestine, directly where I had given myself the shot. Stopped using my stomach and started giving my shots only in my thighs. However, the dizziness continued to come back. The ER Dr. sent me to a neurologist and what they told me was I had BPPV. Being that I had never had this issue before, I just didn't see how it just started happening out of the blue. I tried ear canalith repositioning as per the neurologist instruction when I had the episodes. Unfortunately, when it happened I would be unable to function for a week at a time before it would subside. Then it started happening more regular. I stopped taking the Ozympic and reported it to my Dr. Never again!","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to less than 2 years"", ""continued_use"": ""no"", ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""Dizziness"", ""severity"": null}, {""name"": ""Intestinal pain with diarrhea and bleeding"", ""severity"": null}, {""name"": ""BPPV (Benign Paroxysmal Positional Vertigo)"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Type 2 Diabetes Mellitus""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""Dizziness""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""Intestinal pain with diarrhea and bleeding""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""BPPV (Benign Paroxysmal Positional Vertigo)""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to less than 2 years"", ""continued_use"": ""no"", ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""Dizziness"", ""severity"": null, ""standard_name"": ""dizziness"", ""standardized"": true}, {""name"": ""Intestinal pain with diarrhea and bleeding"", ""severity"": null, ""standard_name"": null, ""standardized"": false}, {""name"": ""BPPV (Benign Paroxysmal Positional Vertigo)"", ""severity"": null, ""standard_name"": null, ""standardized"": false}]}"
Semaglutide,Ozempic,1/4/2025,Lala,55-64,Female,Patient,,Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity,5.0,5,5,5,1.0,0,"Works really well. I lost at least a pound per day. However, I was sick, dizzy, nauseated, and throwing up. The taste and smell of food changed for me. I was disgusted by food, and sometimes was really weak.","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": null, ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity"", ""severity"": null}, ""side_effects"": [{""name"": ""sick"", ""severity"": null}, {""name"": ""dizzy"", ""severity"": null}, {""name"": ""nauseated"", ""severity"": null}, {""name"": ""throwing up"", ""severity"": null}, {""name"": ""taste and smell of food changed"", ""severity"": null}, {""name"": ""disgusted by food"", ""severity"": null}, {""name"": ""weak"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""sick""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""dizzy""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""nauseated""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""throwing up""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""taste and smell of food changed""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""disgusted by food""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""weak""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": null, ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity"", ""severity"": null}, ""side_effects"": [{""name"": ""sick"", ""severity"": null, ""standard_name"": ""illness"", ""standardized"": true}, {""name"": ""dizzy"", ""severity"": null, ""standard_name"": ""dizziness"", ""standardized"": true}, {""name"": ""nauseated"", ""severity"": null, ""standard_name"": ""nausea"", ""standardized"": true}, {""name"": ""throwing up"", ""severity"": null, ""standard_name"": ""vomiting"", ""standardized"": true}, {""name"": ""taste and smell of food changed"", ""severity"": null, ""standard_name"": null, ""standardized"": false}, {""name"": ""disgusted by food"", ""severity"": null, ""standard_name"": ""food aversion"", ""standardized"": true}, {""name"": ""weak"", ""severity"": null, ""standard_name"": null, ""standardized"": false}]}"
Semaglutide,Ozempic,12/4/2024,Patty,55-64,Female,Patient,1 to 6 months,Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity,2.0,1,4,1,1.0,0,"I took this for diabetes and weight loss..this Is a terrible drug.. I.
Got very sick on.It tried three times got very sick every time.. In fact went to hospital twice.. And I have spoke to a few other people that were very sick on it.. And told them to quit get off it..","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to 6 months"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity"", ""severity"": null}, ""side_effects"": [{""name"": ""Sickness"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""Sickness""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to 6 months"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Weight Loss Management for Overweight Person with BMI 27 to 29 and Weight-Related Comorbidity"", ""severity"": null}, ""side_effects"": [{""name"": ""Sickness"", ""severity"": null, ""standard_name"": ""illness"", ""standardized"": true}]}"
Semaglutide,Ozempic,11/28/2024,Bob,55-64,Male,Patient,,Type 2 Diabetes Mellitus,2.6666666666666665,4,3,1,1.0,0,"I'm the kind of person that will have 98% of the effect hat come with 
 Kind of medication.
 I would not recommend this for anyone that has I. B.S. I only use.
  it for one month and my stomach still feels like it hurts on the right side I don't like. And I wish I'd never would have used the pen","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": null, ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""stomach pain"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Type 2 Diabetes Mellitus""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""stomach pain""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": null, ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""stomach pain"", ""severity"": null, ""standard_name"": null, ""standardized"": false}]}"
Semaglutide,Ozempic,11/23/2024,Liz C.,35-44,Female,Patient,1 to less than 2 years,Type 2 Diabetes Mellitus,5.0,5,5,5,1.0,0,"In the beginning, I SUFFERED with constipation. Like, life-altering constipation. I have IBS and a gall bladder removal. After getting through the initial problem, I've had no other issues. My glucose is under control while still eating and drinking what I want, and I've lost a significant amount of weight.","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to less than 2 years"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""constipation"", ""severity"": null}]}","[{""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""Disease"", ""properties"": {""name"": ""Type 2 Diabetes Mellitus""}}, ""relation"": ""treats"", ""properties"": {""approval"": null, ""off_label"": null}}, {""start"": {""label"": ""Medication"", ""properties"": {""name"": ""Ozempic""}}, ""end"": {""label"": ""SideEffect"", ""properties"": {""name"": ""constipation""}}, ""relation"": ""causes"", ""properties"": {""severity"": null, ""dosage"": null}}]","{""drug"": {""name"": ""Ozempic"", ""dosage"": null, ""dosage_form"": ""subcutaneous injection"", ""duration"": ""1 to less than 2 years"", ""continued_use"": null, ""alternative_drug_considered"": null}, ""condition"": {""name"": ""Type 2 Diabetes Mellitus"", ""severity"": null}, ""side_effects"": [{""name"": ""constipation"", ""severity"": null, ""standard_name"": ""constipation"", ""standardized"": true}]}"
